,time,PLUS_DI,MINUS_DI,ADX
0,1999-11-19,32.9307,5.8654,
1,1999-11-22,31.2599,5.5678,
2,1999-11-23,33.3939,4.9908,
3,1999-11-24,31.6612,4.7318,
4,1999-11-26,31.7652,4.6241,
5,1999-11-29,35.2458,4.1454,
6,1999-11-30,36.3732,3.5809,
7,1999-12-01,33.9756,3.2383,
8,1999-12-02,38.2181,2.846,
9,1999-12-03,42.1545,2.6377,
10,1999-12-06,41.1753,2.4284,
11,1999-12-07,39.859,2.2948,
12,1999-12-08,35.4624,7.972,
13,1999-12-09,31.0049,17.6783,
14,1999-12-10,27.2698,17.7464,74.91
15,1999-12-13,25.937,16.9513,71.44
16,1999-12-14,24.3581,21.0208,67.95
17,1999-12-15,22.5295,23.9178,63.19
18,1999-12-16,22.6969,22.6264,58.12
19,1999-12-17,26.2386,21.5675,52.8
20,1999-12-20,25.0807,23.0702,47.86
21,1999-12-21,27.9083,21.521,42.3
22,1999-12-22,27.7498,19.8888,37.32
23,1999-12-23,26.1645,18.7526,32.35
24,1999-12-27,24.3598,19.8646,27.22
25,1999-12-28,22.849,24.3379,21.6
26,1999-12-29,24.2218,22.1916,15.46
27,1999-12-30,25.3427,20.8591,11.25
28,1999-12-31,24.1721,20.0601,9.99
29,2000-01-03,33.1044,17.2997,9.14
30,2000-01-04,28.8524,15.6751,9.89
31,2000-01-05,26.1414,14.2023,11.48
32,2000-01-06,22.7187,21.0715,13.38
33,2000-01-07,21.2224,19.6837,13.63
34,2000-01-10,20.8514,18.0808,13.2
35,2000-01-11,18.892,20.8843,13.41
36,2000-01-12,17.1327,23.0783,12.85
37,2000-01-13,18.3858,20.4448,12.73
38,2000-01-14,20.8854,19.3154,11.93
39,2000-01-18,23.5266,18.2198,11.48
40,2000-01-19,25.0664,17.2029,12.16
41,2000-01-20,33.6879,14.7422,13.18
42,2000-01-21,32.3344,17.4256,15.28
43,2000-01-24,29.9028,21.1121,16.76
44,2000-01-25,26.8402,21.5699,15.75
45,2000-01-26,26.7208,20.6301,14.41
46,2000-01-27,25.1275,22.1329,13.22
47,2000-01-28,22.6436,26.0979,13.4
48,2000-01-31,20.6354,29.576,13.64
49,2000-02-01,20.7307,28.1417,14.4
50,2000-02-02,19.6784,29.6875,15.13
51,2000-02-03,20.7475,28.0578,15.52
52,2000-02-04,25.1665,26.1562,16.21
53,2000-02-07,27.3259,23.9819,16.07
54,2000-02-08,27.8778,22.7865,15.63
55,2000-02-09,27.5585,21.6687,15.01
56,2000-02-10,26.4049,23.4008,13.07
57,2000-02-11,24.715,23.8111,11.37
58,2000-02-14,24.6698,21.9432,10.27
59,2000-02-15,27.8698,20.7924,9.91
60,2000-02-16,25.7622,22.5944,10.03
61,2000-02-17,25.0563,21.9753,10.04
62,2000-02-18,23.7322,23.4563,10.01
63,2000-02-22,21.0089,25.4442,8.78
64,2000-02-23,21.426,23.206,8.37
65,2000-02-24,19.8369,21.3433,7.21
66,2000-02-25,18.3556,21.5187,6.4
