time,MINUS_DI
2022-10-14,30.6023
2022-10-13,33.7725
2022-10-12,32.5775
2022-10-11,33.6955
2022-10-10,34.8627
2022-10-07,35.3255
2022-10-06,29.2420
2022-10-05,30.3277
2022-10-04,30.4475
2022-10-03,32.2413
2022-09-30,34.4784
2022-09-29,33.0228
2022-09-28,31.0997
2022-09-27,25.8868
2022-09-26,28.0851
2022-09-23,30.1409
2022-09-22,28.2144
2022-09-21,25.2766
2022-09-20,27.5700
2022-09-19,30.0313
2022-09-16,33.0204
2022-09-15,29.9534
2022-09-14,28.0513
2022-09-13,29.7944
2022-09-12,23.9770
2022-09-09,27.4623
2022-09-08,29.3973
2022-09-07,29.7158
2022-09-06,31.4334
2022-09-02,31.0089
2022-09-01,34.5745
2022-08-31,32.0669
2022-08-30,33.1809
2022-08-29,32.1006
2022-08-26,26.5553
2022-08-25,19.7981
2022-08-24,21.0275
2022-08-23,20.9980
2022-08-22,20.8806
2022-08-19,13.4269
2022-08-18,10.1987
2022-08-17,10.5944
2022-08-16,11.4221
2022-08-15,11.9166
2022-08-12,12.4150
2022-08-11,13.3478
2022-08-10,14.0961
2022-08-09,15.3581
2022-08-08,14.2606
2022-08-05,15.2724
2022-08-04,13.7971
2022-08-03,14.5121
2022-08-02,16.3928
2022-08-01,14.8431
2022-07-29,15.5966
2022-07-28,17.5170
2022-07-27,18.6115
2022-07-26,20.7469
2022-07-25,18.7936
2022-07-22,17.6336
2022-07-21,18.5728
2022-07-20,19.8122
2022-07-19,21.0139
2022-07-18,22.6596
2022-07-15,21.9326
2022-07-14,22.9731
2022-07-13,25.3679
2022-07-12,22.0109
2022-07-11,23.4391
2022-07-08,22.6273
2022-07-07,23.6233
2022-07-06,25.0828
2022-07-05,26.3487
2022-07-01,28.3975
2022-06-30,29.9598
2022-06-29,27.8816
2022-06-28,28.6315
2022-06-27,25.4744
2022-06-24,26.5103
2022-06-23,28.0365
2022-06-22,29.4372
2022-06-21,31.1546
2022-06-17,33.7680
2022-06-16,35.4072
2022-06-15,34.1106
2022-06-14,36.7862
2022-06-13,38.0765
2022-06-10,33.0205
2022-06-09,27.6842
2022-06-08,22.6283
2022-06-07,23.4009
2022-06-06,23.8883
2022-06-03,25.0904
2022-06-02,24.1062
2022-06-01,24.4397
2022-05-31,25.7729
2022-05-27,27.0627
2022-05-26,29.1552
2022-05-25,31.9551
2022-05-24,33.3793
2022-05-23,35.4569
2022-05-20,38.0427
2022-05-19,36.8365
2022-05-18,34.9568
2022-05-17,30.1375
2022-05-16,31.8528
2022-05-13,33.2400
2022-05-12,35.6322
2022-05-11,29.9645
2022-05-10,24.0402
2022-05-09,25.5977
2022-05-06,23.9202
2022-05-05,24.9086
2022-05-04,22.5874
2022-05-03,25.1035
2022-05-02,26.7884
2022-04-29,22.7394
2022-04-28,26.0450
2022-04-27,29.5907
2022-04-26,29.5307
2022-04-25,29.6700
2022-04-22,26.7594
2022-04-21,21.7863
2022-04-20,24.0979
2022-04-19,25.3325
2022-04-18,27.1491
2022-04-14,25.9859
2022-04-13,25.7792
2022-04-12,27.8325
2022-04-11,29.9713
2022-04-08,25.5980
2022-04-07,25.7870
2022-04-06,26.9243
2022-04-05,21.4735
2022-04-04,23.0161
2022-04-01,24.7842
2022-03-31,21.6736
2022-03-30,18.9864
2022-03-29,19.9433
2022-03-28,21.1006
2022-03-25,21.1628
2022-03-24,22.0319
2022-03-23,23.4192
2022-03-22,25.2972
2022-03-21,27.1225
2022-03-18,28.5364
2022-03-17,30.6351
2022-03-16,32.2054
2022-03-15,34.9393
2022-03-14,37.7252
2022-03-11,33.6724
2022-03-10,33.8695
2022-03-09,32.1937
2022-03-08,35.2567
2022-03-07,34.0271
2022-03-04,32.2945
2022-03-03,28.7432
2022-03-02,30.3313
2022-03-01,32.5211
2022-02-28,34.9834
2022-02-25,36.6472
2022-02-24,39.0996
2022-02-23,32.9978
2022-02-22,32.4787
2022-02-18,28.1451
2022-02-17,26.2080
2022-02-16,25.2724
2022-02-15,26.7706
2022-02-14,28.7268
2022-02-11,27.6516
2022-02-10,23.8928
2022-02-09,19.9220
2022-02-08,20.5430
2022-02-07,21.9089
2022-02-04,22.9939
2022-02-03,22.2904
2022-02-02,21.8233
2022-02-01,22.6835
2022-01-31,23.5382
2022-01-28,25.4722
2022-01-27,30.1330
2022-01-26,32.9278
2022-01-25,36.6581
2022-01-24,40.3685
2022-01-21,31.9588
2022-01-20,30.8508
2022-01-19,30.7294
2022-01-18,27.0258
2022-01-14,25.6684
2022-01-13,25.6502
2022-01-12,22.1797
2022-01-11,23.1633
2022-01-10,25.0705
2022-01-07,21.7031
2022-01-06,21.8242
2022-01-05,17.7558
2022-01-04,11.1228
2022-01-03,11.9249
2021-12-31,13.1487
2021-12-30,12.0864
2021-12-29,12.5372
2021-12-28,12.4011
2021-12-27,12.9919
2021-12-23,13.9011
2021-12-22,14.2547
2021-12-21,15.0915
2021-12-20,16.0540
2021-12-17,13.5405
2021-12-16,12.7156
2021-12-15,14.8752
2021-12-14,16.6973
2021-12-13,12.5420
2021-12-10,14.0331
2021-12-09,15.3335
2021-12-08,16.1071
2021-12-07,17.6435
2021-12-06,19.7223
2021-12-03,22.0500
2021-12-02,24.3668
2021-12-01,13.6012
2021-11-30,15.3623
2021-11-29,17.3917
2021-11-26,19.2374
2021-11-24,13.5602
2021-11-23,14.4216
2021-11-22,10.5250
2021-11-19,11.9688
2021-11-18,13.4629
2021-11-17,15.7495
2021-11-16,17.7465
2021-11-15,18.6590
2021-11-12,20.0915
2021-11-11,21.9569
2021-11-10,22.6264
2021-11-09,17.7565
2021-11-08,18.1938
2021-11-05,18.9528
2021-11-04,19.0822
2021-11-03,20.0537
2021-11-02,21.2610
2021-11-01,23.0077
2021-10-29,24.2762
2021-10-28,18.7686
2021-10-27,21.3706
2021-10-26,20.5803
2021-10-25,21.9708
2021-10-22,20.0659
2021-10-21,20.9658
2021-10-20,21.3097
2021-10-19,22.2692
2021-10-18,23.8695
2021-10-15,26.3382
2021-10-14,27.3258
2021-10-13,29.5309
2021-10-12,26.4287
2021-10-11,25.9395
2021-10-08,26.0138
2021-10-07,26.6793
2021-10-06,28.1563
2021-10-05,28.3454
2021-10-04,30.5852
2021-10-01,31.9043
2021-09-30,29.3230
2021-09-29,29.7544
2021-09-28,31.7969
2021-09-27,29.1430
2021-09-24,26.8095
2021-09-23,28.2049
2021-09-22,29.2715
2021-09-21,31.5818
2021-09-20,33.0513
2021-09-17,25.2650
2021-09-16,23.4131
2021-09-15,24.5220
2021-09-14,25.0812
2021-09-13,22.9182
2021-09-10,24.5724
2021-09-09,13.7305
2021-09-08,14.5427
2021-09-07,14.6359
2021-09-03,15.9680
2021-09-02,16.7025
2021-09-01,17.8510
2021-08-31,19.5455
2021-08-30,20.6004
2021-08-27,23.7857
2021-08-26,23.0908
2021-08-25,23.3386
2021-08-24,21.0312
2021-08-23,22.0937
2021-08-20,23.5816
2021-08-19,24.7951
2021-08-18,22.5060
2021-08-17,16.5749
