time,PLUS_DI
2023-07-24,28.1572
2023-07-21,30.2976
2023-07-20,33.2535
2023-07-19,36.7964
2023-07-18,31.4588
2023-07-17,33.1349
2023-07-14,27.5089
2023-07-13,28.7088
2023-07-12,29.8151
2023-07-11,26.1528
2023-07-10,28.1069
2023-07-07,31.0116
2023-07-06,31.3030
2023-07-05,33.7918
2023-07-03,36.0172
2023-06-30,38.2050
2023-06-29,30.7927
2023-06-28,31.2898
2023-06-27,29.1098
2023-06-26,30.6916
2023-06-23,31.7386
2023-06-22,32.5545
2023-06-21,31.0427
2023-06-20,33.5168
2023-06-16,35.0723
2023-06-15,36.3984
2023-06-14,33.3005
2023-06-13,35.4332
2023-06-12,36.3401
2023-06-09,34.7797
2023-06-08,32.7182
2023-06-07,35.5485
2023-06-06,36.3153
2023-06-05,38.8569
2023-06-02,37.4541
2023-06-01,35.3847
2023-05-31,36.4368
2023-05-30,38.1480
2023-05-26,32.5357
2023-05-25,29.5902
2023-05-24,27.1134
2023-05-23,28.6299
2023-05-22,31.1203
2023-05-19,32.6628
2023-05-18,30.7684
2023-05-17,26.5872
2023-05-16,28.4350
2023-05-15,29.4512
2023-05-12,30.7782
2023-05-11,33.2228
2023-05-10,33.8464
2023-05-09,34.5358
2023-05-08,36.1697
2023-05-05,37.6534
2023-05-04,26.7430
2023-05-03,29.0191
2023-05-02,30.4679
2023-05-01,32.8509
2023-04-28,32.8363
2023-04-27,31.1324
2023-04-26,26.1517
2023-04-25,27.9469
2023-04-24,27.9871
2023-04-21,29.2661
2023-04-20,30.9237
2023-04-19,32.7667
2023-04-18,33.0440
2023-04-17,29.7909
2023-04-14,30.7634
2023-04-13,31.3512
2023-04-12,26.4600
2023-04-11,27.9416
2023-04-10,28.3866
2023-04-06,31.5847
2023-04-05,33.8737
2023-04-04,37.1064
2023-04-03,37.3280
2023-03-31,36.1140
2023-03-30,32.8099
2023-03-29,30.8675
2023-03-28,27.4658
2023-03-27,28.9873
2023-03-24,29.8820
2023-03-23,31.4673
2023-03-22,34.0763
2023-03-21,31.3237
2023-03-20,29.8559
2023-03-17,29.8897
2023-03-16,30.8453
2023-03-15,27.1278
2023-03-14,29.0575
2023-03-13,30.5434
2023-03-10,29.3526
2023-03-09,31.5075
2023-03-08,34.5563
2023-03-07,35.9581
2023-03-06,38.1888
2023-03-03,31.1388
2023-03-02,24.7222
2023-03-01,26.3061
2023-02-28,27.7143
2023-02-27,29.0688
2023-02-24,26.3841
2023-02-23,28.4472
2023-02-22,29.4810
2023-02-21,31.1787
2023-02-17,33.8694
2023-02-16,35.8516
2023-02-15,36.3336
2023-02-14,34.8033
2023-02-13,36.8137
2023-02-10,33.5881
2023-02-09,34.8991
2023-02-08,37.3951
2023-02-07,39.7456
2023-02-06,39.1905
2023-02-03,41.8135
2023-02-02,37.4268
2023-02-01,32.4339
2023-01-31,31.2511
2023-01-30,32.5810
2023-01-27,34.6269
2023-01-26,31.4568
2023-01-25,29.3217
2023-01-24,31.4964
2023-01-23,33.2573
2023-01-20,26.2392
2023-01-19,24.6829
2023-01-18,25.8831
2023-01-17,25.1169
2023-01-13,22.0936
2023-01-12,22.2075
2023-01-11,21.9789
2023-01-10,19.1263
2023-01-09,20.1932
2023-01-06,16.0551
2023-01-05,13.0968
2023-01-04,13.7864
2023-01-03,14.6390
2022-12-30,16.4075
2022-12-29,17.1269
2022-12-28,18.4509
2022-12-27,20.1287
2022-12-23,21.2196
2022-12-22,22.2073
2022-12-21,24.1439
2022-12-20,19.9619
2022-12-19,21.0746
2022-12-16,22.4144
2022-12-15,23.8361
2022-12-14,26.7205
2022-12-13,29.2326
2022-12-12,22.6007
2022-12-09,23.9371
2022-12-08,22.3294
2022-12-07,23.0413
2022-12-06,24.3122
2022-12-05,26.4772
2022-12-02,23.8795
2022-12-01,24.9063
2022-11-30,25.2459
2022-11-29,22.2104
2022-11-28,23.8301
2022-11-25,25.6763
2022-11-23,27.3173
2022-11-22,26.1782
2022-11-21,27.5751
2022-11-18,29.0472
2022-11-17,28.4318
2022-11-16,28.2955
2022-11-15,29.3766
2022-11-14,26.9528
2022-11-11,27.6178
2022-11-10,25.5089
2022-11-09,17.8654
2022-11-08,19.1324
2022-11-07,16.9627
2022-11-04,17.7752
2022-11-03,19.8859
2022-11-02,21.6950
2022-11-01,24.0108
2022-10-31,26.3094
2022-10-28,27.8033
2022-10-27,19.5641
2022-10-26,21.2913
2022-10-25,22.8332
2022-10-24,20.2921
2022-10-21,17.8048
2022-10-20,16.1063
2022-10-19,15.4328
2022-10-18,16.2705
2022-10-17,11.7646
2022-10-14,12.6138
2022-10-13,12.3985
2022-10-12,14.4187
2022-10-11,14.9587
2022-10-10,15.7374
2022-10-07,16.5872
2022-10-06,18.2369
2022-10-05,18.6580
2022-10-04,19.9538
2022-10-03,16.2068
2022-09-30,17.5806
2022-09-29,18.9967
2022-09-28,21.9447
2022-09-27,24.6255
2022-09-26,25.0274
2022-09-23,22.7829
2022-09-22,24.4659
2022-09-21,25.9840
2022-09-20,27.1765
2022-09-19,23.3178
2022-09-16,19.7870
2022-09-15,21.2241
2022-09-14,22.7302
2022-09-13,24.1426
2022-09-12,28.9604
2022-09-09,19.5836
2022-09-08,17.9018
2022-09-07,19.2836
2022-09-06,20.5058
2022-09-02,21.9405
2022-09-01,20.3258
2022-08-31,21.9546
2022-08-30,23.5629
2022-08-29,26.0568
2022-08-26,28.2355
