,time,PLUS_DI,MINUS_DI,ADX
0,2022-10-28 19:00,42.2427,1.3979,
1,2022-10-28 20:00,43.3566,1.3567,
2,2022-10-31 05:00,37.5851,12.1926,
3,2022-10-31 06:00,36.3628,11.7961,
4,2022-10-31 07:00,33.4987,15.5169,
5,2022-10-31 08:00,31.7467,14.7054,
6,2022-10-31 09:00,34.8531,13.0213,
7,2022-10-31 10:00,29.3135,18.7313,
8,2022-10-31 11:00,26.1036,18.5654,
9,2022-10-31 12:00,24.2301,18.8368,
10,2022-10-31 13:00,23.4329,17.8356,
11,2022-10-31 14:00,23.9704,16.6213,
12,2022-10-31 15:00,23.0144,15.9584,
13,2022-10-31 16:00,22.1638,17.3927,
14,2022-10-31 17:00,21.8124,17.1169,37.27
15,2022-10-31 18:00,21.4462,16.9283,31.45
16,2022-10-31 19:00,21.199,16.7332,25.58
17,2022-10-31 20:00,22.44,16.399,22.78
18,2022-11-01 05:00,28.4277,15.0173,20.24
19,2022-11-01 06:00,27.4884,14.9769,19.83
20,2022-11-01 07:00,28.524,14.5658,19.31
21,2022-11-01 08:00,27.8504,14.0948,18.37
22,2022-11-01 09:00,29.5572,13.1277,19.14
23,2022-11-01 10:00,32.2759,11.3446,20.68
24,2022-11-01 11:00,26.261,21.1525,23.21
25,2022-11-01 12:00,24.0572,19.7427,23.01
26,2022-11-01 13:00,25.8472,18.2785,22.42
27,2022-11-01 14:00,24.576,18.3407,22.36
28,2022-11-01 15:00,23.3154,18.028,22.53
29,2022-11-01 16:00,21.2876,21.452,22.58
30,2022-11-01 17:00,14.1508,31.3914,21.77
31,2022-11-01 18:00,25.934,25.4369,23.63
32,2022-11-01 19:00,24.9825,24.5037,22.59
33,2022-11-01 20:00,24.6461,24.1738,20.46
34,2022-11-02 05:00,26.146,22.8815,18.42
35,2022-11-02 06:00,25.1106,21.9754,16.58
36,2022-11-02 07:00,24.4803,21.4238,14.72
37,2022-11-02 08:00,29.8044,19.5418,12.44
38,2022-11-02 09:00,28.4574,17.0885,10.5
39,2022-11-02 10:00,23.8375,17.5219,11.51
40,2022-11-02 11:00,20.9696,18.8867,11.9
41,2022-11-02 12:00,20.0586,18.1301,11.05
42,2022-11-02 13:00,18.8108,18.9378,10.37
43,2022-11-02 14:00,17.974,19.4233,9.48
44,2022-11-02 15:00,23.9879,16.3983,9.73
45,2022-11-02 16:00,20.8914,21.9813,8.37
46,2022-11-02 17:00,20.1898,23.2464,8.48
47,2022-11-02 18:00,19.8993,22.912,8.92
48,2022-11-02 19:00,19.6218,23.323,9.35
49,2022-11-02 20:00,19.2366,23.7065,9.49
50,2022-11-03 05:00,20.9497,22.7777,9.76
51,2022-11-03 06:00,20.5169,22.3071,9.58
52,2022-11-03 07:00,19.7833,23.8138,8.39
53,2022-11-03 08:00,18.6502,26.1607,7.27
54,2022-11-03 09:00,21.2538,23.216,7.38
55,2022-11-03 10:00,20.9985,20.3891,7.32
56,2022-11-03 11:00,32.6995,16.3458,7.06
57,2022-11-03 12:00,31.4738,14.6121,9.42
58,2022-11-03 13:00,29.7644,14.1889,11.76
59,2022-11-03 14:00,28.4772,13.5752,12.95
60,2022-11-03 15:00,27.4798,13.2319,15.3
61,2022-11-03 16:00,23.7448,21.2428,17.29
62,2022-11-03 17:00,23.132,20.6946,17.19
63,2022-11-03 18:00,23.5563,20.1077,16.97
64,2022-11-03 19:00,23.1523,21.0492,16.79
65,2022-11-03 20:00,23.5636,20.6675,16.83
66,2022-11-04 05:00,30.672,18.7454,17.0
67,2022-11-04 06:00,29.5222,18.0427,18.06
68,2022-11-04 07:00,28.903,17.6643,18.59
69,2022-11-04 08:00,28.4104,17.2595,20.0
70,2022-11-04 09:00,25.2486,15.3387,21.64
71,2022-11-04 10:00,28.8913,12.6132,21.0
72,2022-11-04 11:00,25.8118,11.2688,21.19
73,2022-11-04 12:00,23.4551,12.2584,21.46
74,2022-11-04 13:00,21.5819,12.4331,21.17
75,2022-11-04 14:00,20.5074,11.8141,20.59
76,2022-11-04 15:00,19.1743,12.4299,22.11
77,2022-11-04 16:00,22.7224,11.6167,23.24
78,2022-11-04 17:00,22.5304,11.2949,24.99
79,2022-11-04 18:00,22.0459,11.2057,27.02
80,2022-11-04 19:00,21.865,11.1137,28.88
81,2022-11-04 20:00,21.6168,11.2496,29.48
82,2022-11-07 05:00,24.7327,10.7636,30.01
83,2022-11-07 06:00,25.3707,10.3138,31.1
84,2022-11-07 07:00,25.4348,10.0623,32.37
85,2022-11-07 08:00,25.3948,9.7251,33.72
86,2022-11-07 09:00,22.2338,17.8981,34.11
87,2022-11-07 10:00,23.3872,14.6749,32.08
88,2022-11-07 11:00,20.9119,13.1218,31.47
89,2022-11-07 12:00,19.4616,12.2117,31.19
90,2022-11-07 13:00,18.6897,12.4024,30.9
91,2022-11-07 14:00,19.2531,11.8274,30.82
92,2022-11-07 15:00,23.8525,11.1216,30.22
93,2022-11-07 16:00,27.3319,10.3126,30.44
94,2022-11-07 17:00,26.6282,10.0471,31.34
95,2022-11-07 18:00,26.3671,9.9486,32.24
96,2022-11-07 19:00,26.2184,9.8139,33.22
97,2022-11-07 20:00,28.3257,9.5047,33.66
98,2022-11-08 05:00,27.8858,9.1308,34.2
99,2022-11-08 06:00,30.0152,8.6294,34.73
100,2022-11-08 07:00,32.5006,8.0262,35.49
101,2022-11-08 08:00,31.3247,7.6487,39.03
102,2022-11-08 09:00,32.1474,7.0259,41.74
103,2022-11-08 10:00,27.0621,13.8239,44.68
104,2022-11-08 11:00,24.9908,12.0574,45.36
105,2022-11-08 12:00,25.4048,10.9905,46.41
106,2022-11-08 13:00,24.0213,10.3919,47.53
107,2022-11-08 14:00,20.8404,16.5093,47.76
