,time,PLUS_DI,MINUS_DI,ADX
0,2022-10-31 12:00,32.4772,36.5938,
1,2022-10-31 13:00,30.6765,36.681,
2,2022-10-31 14:00,34.008,32.7068,
3,2022-10-31 15:00,34.2684,30.794,
4,2022-10-31 16:00,32.7122,29.3956,
5,2022-10-31 17:00,32.5501,29.2499,
6,2022-10-31 20:00,33.2624,28.941,
7,2022-11-01 08:00,35.4644,27.9861,
8,2022-11-01 09:00,38.3836,26.7201,
9,2022-11-01 10:00,33.4894,28.6259,
10,2022-11-01 11:00,28.4444,26.7433,
11,2022-11-01 12:00,29.6799,24.3246,
12,2022-11-01 13:00,30.2727,22.4808,
13,2022-11-01 14:00,28.8031,21.3895,
14,2022-11-01 15:00,29.3594,20.3268,8.56
15,2022-11-01 16:00,27.0443,20.6953,9.43
16,2022-11-01 17:00,24.2167,27.0861,9.75
17,2022-11-01 18:00,24.0484,24.8012,10.01
18,2022-11-02 10:00,20.3509,33.8007,9.74
19,2022-11-02 11:00,19.4818,34.9989,11.13
20,2022-11-02 12:00,23.0518,33.1117,12.78
21,2022-11-02 13:00,22.413,32.194,13.57
22,2022-11-02 14:00,21.3338,34.544,14.0
23,2022-11-02 15:00,26.7793,30.1645,14.41
24,2022-11-02 16:00,23.9758,32.2454,14.28
25,2022-11-02 17:00,23.7525,31.945,15.11
26,2022-11-02 18:00,23.7525,31.945,15.45
27,2022-11-03 05:00,34.3857,27.4901,15.45
28,2022-11-03 09:00,33.6908,28.9554,15.19
29,2022-11-03 10:00,27.1048,42.7926,14.43
30,2022-11-03 11:00,28.0827,37.9318,15.08
31,2022-11-03 12:00,27.6287,36.1925,15.75
32,2022-11-03 13:00,26.8714,34.6376,16.6
33,2022-11-03 14:00,25.4601,33.6865,15.72
34,2022-11-03 15:00,24.4225,32.3226,14.68
35,2022-11-03 16:00,23.179,30.6769,14.4
36,2022-11-03 20:00,23.179,30.6769,14.11
37,2022-11-04 08:00,29.9478,27.9739,13.42
38,2022-11-04 09:00,33.4558,26.5731,13.24
39,2022-11-04 10:00,46.2176,21.4769,13.01
40,2022-11-04 11:00,45.9613,18.3724,14.57
41,2022-11-04 12:00,42.4362,16.7552,16.58
42,2022-11-04 13:00,40.4962,19.345,18.88
43,2022-11-04 14:00,39.3429,18.3975,20.87
44,2022-11-04 15:00,37.9845,17.7623,21.85
45,2022-11-04 16:00,36.6228,18.0217,23.38
46,2022-11-04 17:00,29.735,31.8724,24.85
47,2022-11-04 18:00,28.4417,25.4333,24.2
48,2022-11-07 05:00,32.3657,24.0386,23.6
49,2022-11-07 09:00,27.8439,34.6513,23.66
50,2022-11-07 10:00,24.9438,37.7817,23.45
51,2022-11-07 11:00,23.7677,36.6289,23.91
52,2022-11-07 12:00,23.2175,37.1037,25.19
53,2022-11-07 13:00,22.4654,36.5842,26.02
54,2022-11-07 14:00,24.469,34.9005,25.11
55,2022-11-07 15:00,22.9796,33.8503,23.31
56,2022-11-07 16:00,22.1264,32.5935,21.57
57,2022-11-07 17:00,22.1264,32.5935,20.42
58,2022-11-07 18:00,25.9525,30.9922,19.19
59,2022-11-07 19:00,25.5027,32.1882,17.23
60,2022-11-08 08:00,24.3658,35.2113,15.63
61,2022-11-08 09:00,21.2982,40.0108,16.68
62,2022-11-08 10:00,22.0343,37.4231,18.46
63,2022-11-08 11:00,27.0628,34.0163,19.26
64,2022-11-08 12:00,28.7088,31.885,19.29
65,2022-11-08 13:00,27.5918,30.6444,18.2
66,2022-11-08 14:00,25.6789,32.4196,17.06
67,2022-11-08 15:00,23.1354,32.3868,16.24
68,2022-11-08 16:00,22.9004,30.8504,15.72
69,2022-11-08 17:00,20.3503,37.7251,15.53
70,2022-11-09 05:00,37.1153,29.7845,16.3
71,2022-11-09 09:00,32.2415,33.7523,15.71
72,2022-11-09 10:00,30.3715,31.1124,14.51
73,2022-11-09 11:00,32.8629,28.9768,13.96
74,2022-11-09 12:00,30.5008,28.5276,13.58
75,2022-11-09 13:00,29.0575,26.5648,12.52
76,2022-11-09 14:00,28.2598,25.8355,10.66
77,2022-11-09 15:00,26.684,28.5752,9.13
78,2022-11-09 16:00,25.4412,27.2443,8.57
79,2022-11-09 17:00,24.1373,28.4105,8.44
80,2022-11-10 06:00,22.538,28.0005,8.64
81,2022-11-10 08:00,27.4226,25.203,8.59
82,2022-11-10 09:00,24.2539,30.4474,7.7
83,2022-11-10 10:00,21.2925,27.3724,7.45
84,2022-11-10 11:00,19.4117,24.9546,6.2
85,2022-11-10 12:00,21.7451,23.4415,6.31
86,2022-11-10 13:00,20.7469,22.3653,6.42
87,2022-11-10 14:00,19.2513,25.3405,6.6
88,2022-11-10 15:00,18.2835,28.0882,7.13
89,2022-11-10 16:00,18.309,26.5548,8.4
90,2022-11-10 17:00,18.1754,26.3611,9.39
91,2022-11-10 18:00,20.6686,25.5578,10.38
92,2022-11-10 20:00,20.6669,25.5639,10.9
93,2022-11-11 08:00,19.7943,28.7066,11.41
94,2022-11-11 09:00,38.7646,21.9169,12.14
95,2022-11-11 10:00,36.5054,20.2483,13.35
96,2022-11-11 11:00,44.7673,17.0144,15.09
97,2022-11-11 12:00,42.7489,16.2473,17.49
98,2022-11-11 13:00,41.178,15.6502,19.81
99,2022-11-11 14:00,39.3381,14.951,22.13
100,2022-11-11 15:00,37.1751,15.0803,25.07
101,2022-11-11 16:00,35.696,14.4803,27.82
102,2022-11-11 17:00,35.1484,14.2581,29.86
103,2022-11-14 09:00,40.3903,12.7801,31.37
104,2022-11-14 10:00,37.4073,14.0518,33.77
105,2022-11-14 11:00,40.1021,12.8743,35.7
106,2022-11-14 12:00,37.531,12.0488,38.62
107,2022-11-14 13:00,35.9664,13.0624,41.53
108,2022-11-14 14:00,34.9294,12.4043,43.55
109,2022-11-14 15:00,37.1033,11.4047,44.97
110,2022-11-14 16:00,34.8021,11.085,46.71
111,2022-11-14 17:00,34.6574,11.0389,47.19
112,2022-11-14 18:00,33.4591,14.1149,47.67
113,2022-11-14 20:00,39.1259,12.9128,47.37
114,2022-11-15 06:00,44.7045,11.7295,47.76
115,2022-11-15 09:00,37.9032,22.8767,48.91
116,2022-11-15 10:00,38.3832,20.9071,47.66
117,2022-11-15 11:00,36.0602,19.6418,46.74
118,2022-11-15 12:00,34.8218,18.9672,45.14
119,2022-11-15 13:00,33.6983,18.4127,44.0
120,2022-11-15 14:00,31.2146,19.5697,42.43
121,2022-11-15 15:00,30.1048,18.874,40.39
122,2022-11-15 16:00,29.4826,18.2069,38.7
123,2022-11-15 17:00,30.0497,16.9189,36.99
124,2022-11-15 18:00,27.9225,15.7212,35.2
125,2022-11-16 09:00,24.8447,18.2278,33.5
126,2022-11-16 10:00,21.8516,23.2601,30.91
127,2022-11-16 11:00,20.6042,25.1943,28.23
128,2022-11-16 12:00,19.7574,24.9,25.35
129,2022-11-16 13:00,18.6575,25.7578,21.99
130,2022-11-16 14:00,17.6791,29.2139,21.37
131,2022-11-16 15:00,18.0705,27.6523,21.02
132,2022-11-16 16:00,17.5405,26.1472,20.41
133,2022-11-16 17:00,17.5405,26.1472,19.72
134,2022-11-17 08:00,16.4989,30.5325,19.03
135,2022-11-17 09:00,13.3651,42.0004,19.52
136,2022-11-17 10:00,11.7293,36.8597,21.58
137,2022-11-17 11:00,12.9583,34.2979,23.58
138,2022-11-17 12:00,12.1555,37.1292,24.81
139,2022-11-17 13:00,12.0572,34.3176,26.43
140,2022-11-17 14:00,11.4125,32.4827,28.77
141,2022-11-17 15:00,15.9146,29.9175,31.97
142,2022-11-17 16:00,17.5034,28.1532,33.44
143,2022-11-17 17:00,17.4243,28.0261,34.28
144,2022-11-17 18:00,17.4243,28.0261,34.81
145,2022-11-18 09:00,27.9847,24.4419,34.71
146,2022-11-18 10:00,24.6867,31.6107,33.7
147,2022-11-18 11:00,23.3759,29.9323,33.17
148,2022-11-18 12:00,20.7113,32.4309,32.64
149,2022-11-18 13:00,19.4718,31.7725,32.09
150,2022-11-18 14:00,18.2929,29.8488,30.11
151,2022-11-18 15:00,17.7154,28.9064,28.13
152,2022-11-18 16:00,18.7476,27.5674,26.62
153,2022-11-18 17:00,18.5624,27.2951,24.36
154,2022-11-18 18:00,20.2591,26.7264,22.29
155,2022-11-18 20:00,22.0089,26.14,19.84
156,2022-11-21 05:00,22.0089,26.14,18.27
157,2022-11-21 08:00,32.3404,22.6772,17.22
158,2022-11-21 09:00,29.5317,23.9645,16.81
159,2022-11-21 10:00,25.6773,29.8226,15.89
160,2022-11-21 11:00,23.0703,26.2355,15.94
161,2022-11-21 12:00,21.0887,24.5224,15.52
162,2022-11-21 13:00,26.682,22.2096,15.18
163,2022-11-21 14:00,27.2532,21.2571,14.25
164,2022-11-21 15:00,26.0602,22.7802,13.42
