,time,PLUS_DI,MINUS_DI,ADX
0,2023-06-26 18:00,31.1431,16.8842,
1,2023-06-26 19:00,31.6354,16.0761,
2,2023-06-27 04:00,29.7824,15.7237,
3,2023-06-27 05:00,29.6317,15.3178,
4,2023-06-27 06:00,31.0385,14.6687,
5,2023-06-27 07:00,29.9733,14.1653,
6,2023-06-27 08:00,36.9699,10.8555,
7,2023-06-27 09:00,32.8546,9.6471,
8,2023-06-27 10:00,29.4633,9.3057,
9,2023-06-27 11:00,26.4623,11.1776,
10,2023-06-27 12:00,25.5865,10.6089,
11,2023-06-27 13:00,28.862,9.8363,
12,2023-06-27 14:00,31.5863,9.3331,
13,2023-06-27 15:00,29.969,9.2691,
14,2023-06-27 16:00,28.8635,10.4218,42.58
15,2023-06-27 17:00,41.0549,6.6017,43.82
16,2023-06-27 18:00,40.1635,6.4584,46.65
17,2023-06-27 19:00,39.3785,6.3321,49.61
18,2023-06-28 04:00,41.6552,6.0118,52.5
19,2023-06-28 05:00,40.7034,5.8745,55.28
20,2023-06-28 06:00,41.1497,5.757,58.06
21,2023-06-28 07:00,42.4513,5.4866,59.55
22,2023-06-28 08:00,38.6684,9.2187,61.16
23,2023-06-28 09:00,32.9177,14.8536,61.84
24,2023-06-28 10:00,32.5215,13.3795,61.64
25,2023-06-28 11:00,30.4009,12.5071,61.66
26,2023-06-28 12:00,27.9,13.0893,61.13
27,2023-06-28 13:00,27.0605,12.976,59.82
28,2023-06-28 14:00,27.6475,12.5687,58.57
29,2023-06-28 15:00,26.0507,15.0545,57.89
30,2023-06-28 16:00,28.9009,14.2392,54.64
31,2023-06-28 17:00,18.5085,42.6131,51.91
32,2023-06-28 18:00,18.844,41.4206,49.56
33,2023-06-28 19:00,18.587,40.2172,46.89
34,2023-06-29 04:00,17.769,41.1391,44.18
35,2023-06-29 05:00,17.2683,41.4111,41.62
36,2023-06-29 06:00,17.7565,40.1729,39.05
37,2023-06-29 07:00,19.6489,38.9861,37.43
38,2023-06-29 08:00,17.8727,38.9654,37.08
39,2023-06-29 09:00,16.8978,37.8019,36.75
40,2023-06-29 10:00,15.7458,37.8882,36.5
41,2023-06-29 11:00,16.7252,36.0299,36.87
42,2023-06-29 12:00,15.8253,35.0858,36.97
43,2023-06-29 13:00,15.314,34.6961,37.0
44,2023-06-29 14:00,14.6555,33.8068,37.85
45,2023-06-29 15:00,15.2836,32.4478,38.25
46,2023-06-29 16:00,10.2827,51.7004,38.0
