,time,PLUS_DI,MINUS_DI,ADX
0,1999-11-19,6.54,29.431,
1,1999-11-22,15.792,26.0545,
2,1999-11-23,17.1635,24.0174,
3,1999-11-24,18.2266,22.2965,
4,1999-11-26,20.0368,20.9062,
5,1999-11-29,18.6817,23.455,
6,1999-11-30,19.18,21.4363,
7,1999-12-01,20.4207,19.7395,
8,1999-12-02,22.5669,18.5158,
9,1999-12-03,26.1199,17.389,
10,1999-12-06,24.4289,18.8635,
11,1999-12-07,22.7576,22.5775,
12,1999-12-08,21.1678,24.1466,
13,1999-12-09,20.089,23.5973,
14,1999-12-10,21.2974,22.3697,13.81
15,1999-12-13,26.4288,19.8746,9.44
16,1999-12-14,32.9275,17.037,8.7
17,1999-12-15,41.7853,13.4016,9.78
18,1999-12-16,48.6433,11.6833,12.74
19,1999-12-17,49.4617,10.8817,16.96
20,1999-12-20,45.5568,14.7478,20.72
21,1999-12-21,43.4855,13.1016,23.97
22,1999-12-22,43.7272,12.3869,27.69
23,1999-12-23,44.0316,11.7859,30.97
24,1999-12-27,41.3278,12.2981,33.66
25,1999-12-28,39.6041,11.7852,36.61
26,1999-12-29,38.3014,11.9247,40.45
27,1999-12-30,39.3469,11.207,43.73
28,1999-12-31,38.0356,12.7664,47.14
29,2000-01-03,32.8348,19.7992,50.51
30,2000-01-04,29.6255,17.864,51.27
31,2000-01-05,25.7323,20.9231,50.77
32,2000-01-06,23.1574,20.6488,47.83
33,2000-01-07,21.1137,20.7202,43.86
34,2000-01-10,22.8636,19.8349,39.36
35,2000-01-11,20.5927,22.6523,36.22
36,2000-01-12,18.8089,28.1578,32.73
37,2000-01-13,16.5756,29.7173,30.16
38,2000-01-14,22.7793,25.9068,28.06
39,2000-01-18,25.0865,23.9859,24.65
40,2000-01-19,21.6915,29.098,20.95
41,2000-01-20,20.4676,27.6482,18.24
42,2000-01-21,19.2432,29.9126,15.33
43,2000-01-24,17.8409,31.3763,13.32
44,2000-01-25,16.6845,31.2225,13.52
45,2000-01-26,15.5794,29.8198,13.92
46,2000-01-27,14.64,30.8836,15.42
47,2000-01-28,13.9502,29.4285,17.56
48,2000-01-31,13.1959,31.6448,20.04
49,2000-02-01,19.998,28.8784,22.48
50,2000-02-02,20.0013,27.2889,23.43
51,2000-02-03,18.6906,26.1125,23.11
52,2000-02-04,23.5115,24.2692,22.27
53,2000-02-07,22.4889,23.2136,21.92
54,2000-02-08,26.4042,21.8245,21.87
55,2000-02-09,23.7903,23.8555,21.51
56,2000-02-10,22.2067,24.5137,20.46
57,2000-02-11,19.8014,27.1798,19.26
58,2000-02-14,18.9377,26.0915,18.42
59,2000-02-15,18.3357,26.8515,17.38
60,2000-02-16,17.3651,27.1544,16.49
61,2000-02-17,16.5799,25.9266,15.51
62,2000-02-18,15.085,27.5326,14.53
63,2000-02-22,13.9593,29.0446,13.68
64,2000-02-23,13.0608,28.4834,14.89
65,2000-02-24,12.3857,26.5528,16.44
66,2000-02-25,11.4666,27.2015,17.85
67,2000-02-28,10.6644,29.461,20.65
68,2000-02-29,10.1157,27.9452,23.88
69,2000-03-01,13.2999,25.4259,26.55
70,2000-03-02,14.4691,23.4133,28.77
71,2000-03-03,19.0531,21.2304,30.11
72,2000-03-06,16.8261,24.7946,29.37
73,2000-03-07,15.2324,22.1489,29.61
74,2000-03-08,14.0173,21.8268,29.58
75,2000-03-09,18.7702,20.1585,29.57
76,2000-03-10,21.8089,19.2098,28.25
77,2000-03-13,20.5912,21.3276,26.62
78,2000-03-14,19.2271,23.7324,24.24
79,2000-03-15,18.3008,24.9403,22.33
80,2000-03-16,17.2501,24.2427,20.83
81,2000-03-17,20.4619,22.2436,19.13
82,2000-03-20,19.7651,21.0297,16.08
83,2000-03-21,23.0944,18.7814,12.96
84,2000-03-22,25.4506,17.4182,11.46
85,2000-03-23,32.5971,14.9243,11.11
86,2000-03-24,33.123,13.7273,13.38
87,2000-03-27,29.4939,20.1685,14.97
88,2000-03-28,27.3804,20.9423,14.99
89,2000-03-29,27.7107,19.5635,14.38
90,2000-03-30,25.3363,21.5554,15.36
91,2000-03-31,23.5999,20.0781,15.48
92,2000-04-03,18.9439,33.2597,15.93
93,2000-04-04,17.343,36.5057,17.14
94,2000-04-05,16.7618,35.2823,18.59
95,2000-04-06,16.1695,34.8122,19.93
96,2000-04-07,17.0411,32.8135,22.24
97,2000-04-10,16.3339,31.4518,24.28
98,2000-04-11,15.7453,33.8379,25.8
99,2000-04-12,14.611,38.0833,27.07
100,2000-04-13,13.9253,36.296,27.6
101,2000-04-14,12.6918,41.2305,27.82
102,2000-04-17,12.136,39.7901,30.26
103,2000-04-18,19.6024,36.3244,33.11
104,2000-04-19,18.6294,34.5213,34.02
105,2000-04-20,17.9563,34.2192,35.58
106,2000-04-24,14.6123,44.5459,37.23
107,2000-04-25,16.1031,42.7736,38.88
108,2000-04-26,17.535,40.5133,39.58
109,2000-04-27,16.8768,38.9926,39.86
110,2000-04-28,17.7752,37.3759,40.08
111,2000-05-01,21.1844,34.9632,40.36
112,2000-05-02,19.8834,36.1783,39.85
113,2000-05-03,19.247,36.1246,39.32
114,2000-05-04,19.3581,34.9558,38.31
115,2000-05-05,19.6782,33.7788,37.18
116,2000-05-08,19.0791,33.0766,35.29
117,2000-05-09,18.0438,35.3239,33.4
118,2000-05-10,17.3142,37.2333,33.58
119,2000-05-11,17.0002,35.5049,34.05
120,2000-05-12,19.6588,34.1507,34.34
121,2000-05-15,19.0591,33.6385,32.65
122,2000-05-16,21.0035,32.4826,31.39
123,2000-05-17,19.9392,34.9129,30.1
124,2000-05-18,18.9336,36.3302,29.22
125,2000-05-19,18.1719,38.1298,28.93
126,2000-05-22,16.9509,40.4936,29.71
127,2000-05-23,16.6756,38.0444,30.56
128,2000-05-24,17.6445,34.815,31.17
129,2000-05-25,15.8424,35.5705,31.46
130,2000-05-26,15.0042,35.4522,32.31
131,2000-05-30,17.5841,33.199,33.29
132,2000-05-31,16.8772,31.8644,33.18
133,2000-06-01,21.0382,29.2118,32.76
134,2000-06-02,21.7513,27.6346,31.41
135,2000-06-05,24.5102,25.9986,30.34
136,2000-06-06,26.4137,24.0572,28.57
137,2000-06-07,26.2212,21.9238,27.37
138,2000-06-08,27.0694,19.8979,26.06
139,2000-06-09,26.1417,19.216,24.9
140,2000-06-12,24.4239,22.8005,23.46
141,2000-06-13,23.2479,22.343,20.78
142,2000-06-14,29.0174,20.5674,18.13
143,2000-06-15,31.7379,19.4053,17.01
144,2000-06-16,31.5142,18.5695,15.99
145,2000-06-19,31.8397,17.6546,14.94
146,2000-06-20,34.484,16.8826,14.79
147,2000-06-21,45.4809,13.851,15.04
148,2000-06-22,42.436,12.9237,17.69
149,2000-06-23,39.2195,17.6661,20.65
150,2000-06-26,36.807,16.5121,23.14
151,2000-06-27,35.1551,15.771,25.53
152,2000-06-28,33.8104,15.1677,27.61
153,2000-06-29,32.0849,18.6284,29.24
154,2000-06-30,32.0796,16.9849,30.04
155,2000-07-03,31.6254,16.655,31.99
156,2000-07-05,30.0323,19.04,34.07
157,2000-07-06,32.4639,17.3266,34.45
158,2000-07-07,33.6849,16.1904,34.9
159,2000-07-10,31.178,18.3528,35.56
160,2000-07-11,29.387,19.7974,35.36
161,2000-07-12,26.2888,21.3351,34.31
162,2000-07-13,24.1711,19.6165,31.24
163,2000-07-14,23.1466,18.7851,28.18
164,2000-07-17,21.7813,20.3687,26.21
165,2000-07-18,20.4803,19.326,23.73
166,2000-07-19,17.3904,28.6867,21.22
167,2000-07-20,16.3933,27.042,20.25
168,2000-07-21,15.0297,28.1146,20.11
169,2000-07-24,14.0976,31.3913,20.08
170,2000-07-25,13.1014,33.5526,20.58
171,2000-07-26,12.3006,34.5443,22.11
172,2000-07-27,13.1096,32.085,23.33
173,2000-07-28,16.8519,29.9467,23.82
174,2000-07-31,15.9733,29.417,23.97
175,2000-08-01,15.1241,30.8666,24.7
176,2000-08-02,15.3743,29.136,26.4
177,2000-08-03,14.3682,28.3345,27.86
178,2000-08-04,13.4973,26.6171,29.46
179,2000-08-07,16.4178,25.0307,31.55
180,2000-08-08,24.2279,21.7562,32.83
181,2000-08-09,23.5316,20.6696,31.46
182,2000-08-10,21.8526,23.1049,30.17
183,2000-08-11,21.1568,22.7561,28.21
184,2000-08-14,21.9304,21.3854,25.75
185,2000-08-15,20.9129,20.3933,22.71
186,2000-08-16,19.7985,22.2706,19.41
187,2000-08-17,18.8755,21.2323,16.83
188,2000-08-18,17.9018,21.9888,15.25
189,2000-08-21,17.322,21.2766,13.87
190,2000-08-22,21.5918,19.6573,12.15
191,2000-08-23,20.9124,19.0387,10.28
192,2000-08-24,19.9519,19.7442,8.28
193,2000-08-25,20.9917,18.8992,5.98
194,2000-08-28,19.4085,19.133,4.87
195,2000-08-29,20.4088,17.7759,4.54
196,2000-08-30,19.4223,21.4796,4.57
197,2000-08-31,21.7448,19.5947,4.73
198,2000-09-01,20.9478,18.8764,4.84
199,2000-09-05,20.4799,18.1968,5.12
200,2000-09-06,19.306,19.2306,5.45
201,2000-09-07,22.7662,17.2132,5.05
202,2000-09-08,21.2284,17.0557,5.62
203,2000-09-11,19.8289,20.5016,5.67
204,2000-09-12,18.4693,20.881,5.05
205,2000-09-13,17.2908,21.3075,5.16
206,2000-09-14,15.237,24.5991,5.56
207,2000-09-15,13.7953,31.2794,7.21
208,2000-09-18,12.5521,32.6141,9.6
209,2000-09-19,15.3763,29.3865,12.72
210,2000-09-20,14.3685,28.1484,14.47
211,2000-09-21,13.9856,26.5341,16.42
212,2000-09-22,12.4173,32.5575,18.26
213,2000-09-25,11.1282,31.0775,21.09
214,2000-09-26,16.5115,25.9328,24.04
215,2000-09-27,14.7014,24.9316,25.62
216,2000-09-28,14.1448,23.9876,26.47
217,2000-09-29,13.0076,28.0587,27.53
218,2000-10-02,12.0141,27.0493,30.03
219,2000-10-03,10.8591,29.5315,32.34
220,2000-10-04,10.2018,33.6208,34.9
221,2000-10-05,11.6481,31.6196,37.04
222,2000-10-06,10.9464,31.2208,37.57
223,2000-10-09,10.0499,33.8755,37.83
224,2000-10-10,9.5159,32.0753,39.47
225,2000-10-11,12.7983,29.2619,41.03
226,2000-10-12,11.6493,27.1904,41.61
227,2000-10-13,10.7208,29.8925,41.27
228,2000-10-16,9.4651,33.4738,41.27
229,2000-10-17,8.8875,31.431,43.67
230,2000-10-18,7.7664,32.2129,45.82
231,2000-10-19,25.4969,24.8778,48.35
232,2000-10-20,31.0846,22.2678,45.82
233,2000-10-23,27.609,20.6629,44.25
234,2000-10-24,26.0571,20.5234,41.97
235,2000-10-25,25.4754,19.2521,39.01
236,2000-10-26,26.567,17.5897,36.7
237,2000-10-27,32.2514,15.9338,34.72
238,2000-10-30,32.3383,15.0504,33.27
239,2000-10-31,31.3183,14.5757,32.0
240,2000-11-01,31.4333,14.0599,31.81
241,2000-11-02,32.34,13.6677,31.68
242,2000-11-03,30.6422,16.5901,31.2
243,2000-11-06,30.467,15.8455,29.33
244,2000-11-07,32.9705,14.9309,27.6
245,2000-11-08,29.5801,16.9252,25.92
246,2000-11-09,27.5746,15.7777,27.77
247,2000-11-10,24.9931,18.0592,28.54
248,2000-11-13,22.8848,21.9928,28.66
249,2000-11-14,24.9631,20.3163,27.95
250,2000-11-15,26.1562,19.2918,27.69
251,2000-11-16,26.0635,18.1353,27.32
252,2000-11-17,24.6935,19.9058,26.18
253,2000-11-20,22.6533,23.5488,24.34
254,2000-11-21,23.3378,22.377,21.88
255,2000-11-22,21.3902,23.7761,19.3
256,2000-11-24,22.5366,22.5103,16.78
257,2000-11-27,25.7198,21.2266,14.65
258,2000-11-28,23.3147,28.4239,13.08
259,2000-11-29,21.1867,34.2259,11.1
260,2000-11-30,17.5864,41.5869,10.84
261,2000-12-01,15.9331,39.6111,11.79
262,2000-12-04,14.693,38.3053,13.68
263,2000-12-05,16.5177,35.1644,16.72
264,2000-12-06,15.1956,36.7319,18.57
265,2000-12-07,13.8688,41.0175,20.45
