time,MINUS_DI
2023-07-28,24.8992
2023-07-27,26.8449
2023-07-26,26.1853
2023-07-25,19.3670
2023-07-24,20.5880
2023-07-21,21.4363
2023-07-20,18.4409
2023-07-19,13.9631
2023-07-18,15.3090
2023-07-17,19.6198
2023-07-14,18.3098
2023-07-13,20.1464
2023-07-12,21.6502
2023-07-11,23.9841
2023-07-10,24.9338
2023-07-07,16.4733
2023-07-06,17.4079
2023-07-05,18.9708
2023-07-03,18.3314
2023-06-30,18.5251
2023-06-29,20.2222
2023-06-28,19.6643
2023-06-27,20.5826
2023-06-26,22.3362
2023-06-23,18.6260
2023-06-22,19.9464
2023-06-21,21.4777
2023-06-20,18.6665
2023-06-16,13.2125
2023-06-15,14.6602
2023-06-14,16.9500
2023-06-13,18.2549
2023-06-12,19.7483
2023-06-09,21.4654
2023-06-08,22.9557
2023-06-07,23.8628
2023-06-06,15.0975
2023-06-05,12.6929
2023-06-02,13.2956
2023-06-01,14.0838
2023-05-31,12.3957
2023-05-30,9.6999
2023-05-26,10.3361
2023-05-25,11.6278
2023-05-24,13.8274
2023-05-23,10.8416
2023-05-22,7.9885
2023-05-19,8.5186
2023-05-18,8.8003
2023-05-17,9.4490
2023-05-16,9.9199
2023-05-15,10.4772
2023-05-12,10.7836
2023-05-11,11.3215
2023-05-10,10.4308
2023-05-09,11.1972
2023-05-08,11.6932
2023-05-05,12.3124
2023-05-04,13.4271
2023-05-03,13.3076
2023-05-02,13.9803
2023-05-01,13.4274
2023-04-28,13.9172
2023-04-27,14.7300
2023-04-26,16.2944
2023-04-25,21.4221
2023-04-24,18.8266
2023-04-21,14.8098
2023-04-20,12.8211
2023-04-19,13.4569
2023-04-18,11.1646
2023-04-17,11.8045
2023-04-14,12.5746
2023-04-13,13.4955
2023-04-12,14.5805
2023-04-11,15.4458
2023-04-10,13.2133
2023-04-06,14.3041
2023-04-05,16.1050
2023-04-04,13.5790
2023-04-03,14.3590
2023-03-31,15.0916
2023-03-30,16.1976
2023-03-29,16.9232
2023-03-28,18.0462
2023-03-27,15.1057
2023-03-24,16.0737
2023-03-23,16.9842
2023-03-22,18.5866
2023-03-21,20.3915
2023-03-20,21.2395
2023-03-17,16.3296
2023-03-16,17.6211
2023-03-15,20.4132
2023-03-14,22.2015
2023-03-13,24.1322
2023-03-10,27.9813
2023-03-09,24.7005
2023-03-08,27.3288
2023-03-07,25.3035
2023-03-06,23.3940
2023-03-03,24.8086
2023-03-02,26.1812
2023-03-01,28.0300
2023-02-28,26.2272
2023-02-27,26.3007
2023-02-24,27.3543
2023-02-23,26.7379
2023-02-22,28.6130
2023-02-21,28.5004
2023-02-17,25.7821
2023-02-16,21.2650
2023-02-15,18.4337
2023-02-14,16.9523
2023-02-13,17.9213
2023-02-10,20.0747
2023-02-09,18.6196
2023-02-08,17.2377
2023-02-07,19.1938
2023-02-06,21.8088
2023-02-03,20.1210
2023-02-02,21.6169
2023-02-01,24.6218
2023-01-31,27.5093
2023-01-30,29.2270
2023-01-27,25.8059
2023-01-26,26.6865
2023-01-25,29.0490
2023-01-24,21.7423
2023-01-23,22.6507
2023-01-20,24.1211
2023-01-19,26.6914
2023-01-18,22.5551
2023-01-17,22.5279
2023-01-13,23.5273
2023-01-12,24.7132
2023-01-11,26.4791
