time,PLUS_DI
2023-07-28,23.8896
2023-07-27,25.7564
2023-07-26,28.4890
2023-07-25,33.2566
2023-07-24,30.7589
2023-07-21,32.0263
2023-07-20,35.0739
2023-07-19,39.2476
2023-07-18,43.0306
2023-07-17,32.5037
2023-07-14,34.2466
2023-07-13,28.8864
2023-07-12,28.6594
2023-07-11,21.4267
2023-07-10,22.8890
2023-07-07,25.5497
2023-07-06,26.9993
2023-07-05,27.8171
2023-07-03,30.1392
2023-06-30,31.6746
2023-06-29,26.6796
2023-06-28,27.7524
2023-06-27,26.9990
2023-06-26,29.2542
2023-06-23,31.7929
2023-06-22,34.0467
2023-06-21,33.9543
2023-06-20,36.2323
2023-06-16,38.8511
2023-06-15,41.2320
2023-06-14,34.3267
2023-06-13,34.4237
2023-06-12,31.1818
2023-06-09,31.2496
2023-06-08,29.2510
2023-06-07,30.4068
2023-06-06,35.1001
2023-06-05,36.7566
2023-06-02,37.2114
2023-06-01,34.6628
2023-05-31,38.4278
2023-05-30,42.6297
2023-05-26,42.4855
2023-05-25,39.2624
2023-05-24,31.6143
2023-05-23,33.3611
2023-05-22,37.0070
2023-05-19,33.8996
2023-05-18,35.0208
2023-05-17,31.2148
2023-05-16,30.8825
2023-05-15,27.5879
2023-05-12,28.3947
2023-05-11,29.8110
2023-05-10,32.0268
2023-05-09,30.7551
2023-05-08,32.1174
2023-05-05,33.8180
2023-05-04,31.9326
2023-05-03,33.5297
2023-05-02,35.2246
2023-05-01,37.2640
2023-04-28,38.6233
2023-04-27,37.0029
2023-04-26,34.9234
2023-04-25,22.4973
2023-04-24,24.3858
2023-04-21,26.6726
2023-04-20,27.7752
2023-04-19,29.1525
2023-04-18,30.7701
2023-04-17,32.3466
2023-04-14,30.7289
2023-04-13,32.9793
2023-04-12,32.1783
2023-04-11,32.8775
2023-04-10,35.9147
2023-04-06,38.8797
2023-04-05,37.5987
2023-04-04,39.5590
2023-04-03,39.2117
2023-03-31,41.2122
2023-03-30,38.6103
2023-03-29,36.5746
2023-03-28,33.3875
2023-03-27,34.9680
2023-03-24,36.3145
2023-03-23,38.3713
2023-03-22,41.9702
2023-03-21,39.4259
2023-03-20,41.7550
2023-03-17,46.1831
2023-03-16,42.3262
2023-03-15,37.0057
2023-03-14,33.7284
2023-03-13,32.8181
2023-03-10,31.3478
2023-03-09,33.4594
2023-03-08,30.3282
2023-03-07,31.7974
2023-03-06,33.5357
2023-03-03,29.9300
2023-03-02,26.4088
2023-03-01,27.7005
2023-02-28,29.4126
2023-02-27,30.3479
2023-02-24,29.5385
2023-02-23,31.7247
2023-02-22,31.1929
2023-02-21,32.5250
2023-02-17,34.7542
2023-02-16,36.9921
2023-02-15,39.8680
2023-02-14,42.0376
2023-02-13,44.0687
2023-02-10,38.3825
2023-02-09,39.7030
2023-02-08,44.3207
2023-02-07,40.7613
2023-02-06,34.4269
2023-02-03,35.7727
2023-02-02,38.7259
2023-02-01,33.0376
2023-01-31,28.1797
2023-01-30,27.1390
2023-01-27,29.0550
2023-01-26,28.3175
2023-01-25,25.0643
2023-01-24,28.8887
2023-01-23,30.0957
2023-01-20,26.8408
2023-01-19,23.3873
2023-01-18,24.8171
2023-01-17,26.8559
2023-01-13,26.2589
2023-01-12,27.5825
2023-01-11,25.1017
2023-01-10,21.8710
2023-01-09,22.7966
2023-01-06,18.3956
2023-01-05,19.6715
2023-01-04,21.2377
2023-01-03,24.6145
2022-12-30,20.1631
2022-12-29,21.1829
2022-12-28,20.4384
2022-12-27,21.7538
2022-12-23,22.4382
2022-12-22,23.6432
2022-12-21,26.4726
2022-12-20,25.0789
2022-12-19,26.3039
2022-12-16,28.1524
