,open,high,low,close,volume,ADX,9 period highs,1th % periodic high change,2th % periodic high change,3th % periodic high change,4th % periodic high change,5th % periodic high change,6th % periodic high change,7th % periodic high change,8th % periodic high change,9th % periodic high change,10th % periodic high change,11th % periodic high change,12th % periodic high change,13th % periodic high change,14th % periodic high change,15th % periodic high change,16th % periodic high change,17th % periodic high change,18th % periodic high change,19th % periodic high change,20th % periodic high change,21th % periodic high change,22th % periodic high change,23th % periodic high change,24th % periodic high change,25th % periodic high change,26th % periodic high change,27th % periodic high change,28th % periodic high change,29th % periodic high change,30th % periodic high change,31th % periodic high change,32th % periodic high change,33th % periodic high change,34th % periodic high change,35th % periodic high change,36th % periodic high change,37th % periodic high change,38th % periodic high change,39th % periodic high change,40th % periodic high change,41th % periodic high change,42th % periodic high change,43th % periodic high change,44th % periodic high change,45th % periodic high change,46th % periodic high change,47th % periodic high change,48th % periodic high change,49th % periodic high change,50th % periodic high change
0,231.788,232.0672,230.9503,231.3492,28402,,231.3492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,231.0999,231.0999,230.352,230.4019,24541,,231.3492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,230.3919,230.3919,229.3548,229.4745,22951,,231.3492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,229.6939,230.3021,229.3548,229.654,68907,,231.3492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,229.4047,231.5586,229.3648,231.5486,232414,,231.5486,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
5,231.3492,233.0345,226.1738,226.6524,6900857,,231.5486,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
6,226.6375,230.0828,226.2336,227.3016,6323026,,231.5486,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
7,227.2707,228.4174,226.4131,226.6424,3738164,,231.5486,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
8,226.6524,226.9316,225.1466,225.9743,3870963,,231.5486,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
9,225.9743,227.0313,225.5356,226.0342,3170148,,231.5486,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
10,226.0391,226.5826,225.4757,225.7151,2656480,,231.5486,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
11,225.7151,227.3505,225.4658,226.1738,6754195,,231.5486,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
12,226.1139,226.8219,219.7119,223.1722,2543105,,231.5486,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09
13,223.1722,225.2563,222.7734,224.309,175525,,227.3016,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75
14,224.0633,224.8674,223.6309,224.3888,96476,43.26,227.3016,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75,-1.75
15,224.2691,224.3688,223.97,224.0697,38047,40.7,226.6424,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03,-2.03
16,223.3816,223.7705,222.873,223.5811,37707,38.14,226.1738,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24
17,223.5811,223.6708,222.6237,223.6608,17108,35.32,226.1738,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24
18,223.6708,223.8603,223.2819,223.7406,9736,31.9,226.1738,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24
19,223.5212,224.4586,223.2221,224.2691,79086,27.54,226.1738,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24,-2.24
20,223.7605,226.3632,223.2221,225.0569,244330,23.85,225.0569,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72,-2.72
21,225.0669,230.2922,224.6107,228.592,6595269,21.65,228.592,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19,-1.19
22,228.6368,234.5303,227.7493,233.0145,8062272,22.32,233.0145,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72,0.72
